label,task,original,kept
cross_0.989,pick up the black bowl between the plate and the ramekin and place it on the plate,80,80
cross_0.989,pick up the black bowl on the cookie box and place it on the plate,85,85
cross_0.989,pick up the black bowl from table center and place it on the plate,98,98
cross_0.989,pick up the black bowl next to the ramekin and place it on the plate,112,112
cross_0.989,pick up the black bowl on the ramekin and place it on the plate,93,93
cross_0.989,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,125,125
cross_0.989,pick up the black bowl next to the cookie box and place it on the plate,111,111
cross_0.989,pick up the black bowl on the stove and place it on the plate,124,124
cross_0.989,pick up the black bowl next to the plate and place it on the plate,74,74
cross_0.989,pick up the black bowl on the wooden cabinet and place it on the plate,116,116
cross_0.987,pick up the black bowl between the plate and the ramekin and place it on the plate,80,79
cross_0.987,pick up the black bowl on the cookie box and place it on the plate,85,85
cross_0.987,pick up the black bowl from table center and place it on the plate,98,98
cross_0.987,pick up the black bowl next to the ramekin and place it on the plate,112,107
cross_0.987,pick up the black bowl on the ramekin and place it on the plate,93,89
cross_0.987,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,125,123
cross_0.987,pick up the black bowl next to the cookie box and place it on the plate,111,106
cross_0.987,pick up the black bowl on the stove and place it on the plate,124,123
cross_0.987,pick up the black bowl next to the plate and place it on the plate,74,74
cross_0.987,pick up the black bowl on the wooden cabinet and place it on the plate,116,114
cross_0.985,pick up the black bowl between the plate and the ramekin and place it on the plate,80,73
cross_0.985,pick up the black bowl on the cookie box and place it on the plate,85,81
cross_0.985,pick up the black bowl from table center and place it on the plate,98,84
cross_0.985,pick up the black bowl next to the ramekin and place it on the plate,112,90
cross_0.985,pick up the black bowl on the ramekin and place it on the plate,93,79
cross_0.985,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,125,110
cross_0.985,pick up the black bowl next to the cookie box and place it on the plate,111,93
cross_0.985,pick up the black bowl on the stove and place it on the plate,124,111
cross_0.985,pick up the black bowl next to the plate and place it on the plate,74,73
cross_0.985,pick up the black bowl on the wooden cabinet and place it on the plate,116,101
cross_0.9825,pick up the black bowl between the plate and the ramekin and place it on the plate,80,57
cross_0.9825,pick up the black bowl on the cookie box and place it on the plate,85,77
cross_0.9825,pick up the black bowl from table center and place it on the plate,98,71
cross_0.9825,pick up the black bowl next to the ramekin and place it on the plate,112,77
cross_0.9825,pick up the black bowl on the ramekin and place it on the plate,93,65
cross_0.9825,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,125,91
cross_0.9825,pick up the black bowl next to the cookie box and place it on the plate,111,84
cross_0.9825,pick up the black bowl on the stove and place it on the plate,124,99
cross_0.9825,pick up the black bowl next to the plate and place it on the plate,74,67
cross_0.9825,pick up the black bowl on the wooden cabinet and place it on the plate,116,80
cross_0.98,pick up the black bowl between the plate and the ramekin and place it on the plate,80,48
cross_0.98,pick up the black bowl on the cookie box and place it on the plate,85,49
cross_0.98,pick up the black bowl from table center and place it on the plate,98,58
cross_0.98,pick up the black bowl next to the ramekin and place it on the plate,112,66
cross_0.98,pick up the black bowl on the ramekin and place it on the plate,93,58
cross_0.98,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,125,76
cross_0.98,pick up the black bowl next to the cookie box and place it on the plate,111,77
cross_0.98,pick up the black bowl on the stove and place it on the plate,124,90
cross_0.98,pick up the black bowl next to the plate and place it on the plate,74,57
cross_0.98,pick up the black bowl on the wooden cabinet and place it on the plate,116,68
cross_0.975,pick up the black bowl between the plate and the ramekin and place it on the plate,80,39
cross_0.975,pick up the black bowl on the cookie box and place it on the plate,85,47
cross_0.975,pick up the black bowl from table center and place it on the plate,98,49
cross_0.975,pick up the black bowl next to the ramekin and place it on the plate,112,50
cross_0.975,pick up the black bowl on the ramekin and place it on the plate,93,50
cross_0.975,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,125,58
cross_0.975,pick up the black bowl next to the cookie box and place it on the plate,111,52
cross_0.975,pick up the black bowl on the stove and place it on the plate,124,71
cross_0.975,pick up the black bowl next to the plate and place it on the plate,74,44
cross_0.975,pick up the black bowl on the wooden cabinet and place it on the plate,116,54
cross_0.97,pick up the black bowl between the plate and the ramekin and place it on the plate,80,34
cross_0.97,pick up the black bowl on the cookie box and place it on the plate,85,35
cross_0.97,pick up the black bowl from table center and place it on the plate,98,44
cross_0.97,pick up the black bowl next to the ramekin and place it on the plate,112,44
cross_0.97,pick up the black bowl on the ramekin and place it on the plate,93,45
cross_0.97,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,125,50
cross_0.97,pick up the black bowl next to the cookie box and place it on the plate,111,46
cross_0.97,pick up the black bowl on the stove and place it on the plate,124,62
cross_0.97,pick up the black bowl next to the plate and place it on the plate,74,33
cross_0.97,pick up the black bowl on the wooden cabinet and place it on the plate,116,43
cross_0.95,pick up the black bowl between the plate and the ramekin and place it on the plate,80,21
cross_0.95,pick up the black bowl on the cookie box and place it on the plate,85,28
cross_0.95,pick up the black bowl from table center and place it on the plate,98,33
cross_0.95,pick up the black bowl next to the ramekin and place it on the plate,112,33
cross_0.95,pick up the black bowl on the ramekin and place it on the plate,93,35
cross_0.95,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,125,36
cross_0.95,pick up the black bowl next to the cookie box and place it on the plate,111,27
cross_0.95,pick up the black bowl on the stove and place it on the plate,124,47
cross_0.95,pick up the black bowl next to the plate and place it on the plate,74,23
cross_0.95,pick up the black bowl on the wooden cabinet and place it on the plate,116,29
cross_0.9,pick up the black bowl between the plate and the ramekin and place it on the plate,80,17
cross_0.9,pick up the black bowl on the cookie box and place it on the plate,85,21
cross_0.9,pick up the black bowl from table center and place it on the plate,98,24
cross_0.9,pick up the black bowl next to the ramekin and place it on the plate,112,27
cross_0.9,pick up the black bowl on the ramekin and place it on the plate,93,23
cross_0.9,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,125,29
cross_0.9,pick up the black bowl next to the cookie box and place it on the plate,111,22
cross_0.9,pick up the black bowl on the stove and place it on the plate,124,35
cross_0.9,pick up the black bowl next to the plate and place it on the plate,74,19
cross_0.9,pick up the black bowl on the wooden cabinet and place it on the plate,116,24
