label,task,original,kept
cross_0.9995,put both the alphabet soup and the tomato sauce in the basket,284,284
cross_0.9995,turn on the stove and put the moka pot on it,268,268
cross_0.9995,put both the cream cheese box and the butter in the basket,241,241
cross_0.9995,pick up the book and place it in the back compartment of the caddy,166,166
cross_0.9995,put the white mug on the plate and put the chocolate pudding to the right of the plate,224,224
cross_0.9995,put the black bowl in the bottom drawer of the cabinet and close it,299,299
cross_0.9995,put both the alphabet soup and the cream cheese box in the basket,258,258
cross_0.9995,put both moka pots on the stove,399,399
cross_0.9995,put the white mug on the left plate and put the yellow and white mug on the right plate,220,220
cross_0.9995,put the yellow and white mug in the microwave and close it,281,281
cross_0.999,put both the alphabet soup and the tomato sauce in the basket,284,284
cross_0.999,turn on the stove and put the moka pot on it,268,268
cross_0.999,put both the cream cheese box and the butter in the basket,241,241
cross_0.999,pick up the book and place it in the back compartment of the caddy,166,166
cross_0.999,put the white mug on the plate and put the chocolate pudding to the right of the plate,224,224
cross_0.999,put the black bowl in the bottom drawer of the cabinet and close it,299,299
cross_0.999,put both the alphabet soup and the cream cheese box in the basket,258,258
cross_0.999,put both moka pots on the stove,399,399
cross_0.999,put the white mug on the left plate and put the yellow and white mug on the right plate,220,220
cross_0.999,put the yellow and white mug in the microwave and close it,281,281
cross_0.9985,put both the alphabet soup and the tomato sauce in the basket,284,280
cross_0.9985,turn on the stove and put the moka pot on it,268,267
cross_0.9985,put both the cream cheese box and the butter in the basket,241,226
cross_0.9985,pick up the book and place it in the back compartment of the caddy,166,136
cross_0.9985,put the white mug on the plate and put the chocolate pudding to the right of the plate,224,215
cross_0.9985,put the black bowl in the bottom drawer of the cabinet and close it,299,298
cross_0.9985,put both the alphabet soup and the cream cheese box in the basket,258,238
cross_0.9985,put both moka pots on the stove,399,378
cross_0.9985,put the white mug on the left plate and put the yellow and white mug on the right plate,220,195
cross_0.9985,put the yellow and white mug in the microwave and close it,281,277
cross_0.998,put both the alphabet soup and the tomato sauce in the basket,284,202
cross_0.998,turn on the stove and put the moka pot on it,268,260
cross_0.998,put both the cream cheese box and the butter in the basket,241,166
cross_0.998,pick up the book and place it in the back compartment of the caddy,166,109
cross_0.998,put the white mug on the plate and put the chocolate pudding to the right of the plate,224,168
cross_0.998,put the black bowl in the bottom drawer of the cabinet and close it,299,264
cross_0.998,put both the alphabet soup and the cream cheese box in the basket,258,162
cross_0.998,put both moka pots on the stove,399,305
cross_0.998,put the white mug on the left plate and put the yellow and white mug on the right plate,220,173
cross_0.998,put the yellow and white mug in the microwave and close it,281,219
cross_0.9975,put both the alphabet soup and the tomato sauce in the basket,284,154
cross_0.9975,turn on the stove and put the moka pot on it,268,240
cross_0.9975,put both the cream cheese box and the butter in the basket,241,125
cross_0.9975,pick up the book and place it in the back compartment of the caddy,166,95
cross_0.9975,put the white mug on the plate and put the chocolate pudding to the right of the plate,224,142
cross_0.9975,put the black bowl in the bottom drawer of the cabinet and close it,299,230
cross_0.9975,put both the alphabet soup and the cream cheese box in the basket,258,121
cross_0.9975,put both moka pots on the stove,399,262
cross_0.9975,put the white mug on the left plate and put the yellow and white mug on the right plate,220,143
cross_0.9975,put the yellow and white mug in the microwave and close it,281,193
cross_0.997,put both the alphabet soup and the tomato sauce in the basket,284,132
cross_0.997,turn on the stove and put the moka pot on it,268,221
cross_0.997,put both the cream cheese box and the butter in the basket,241,106
cross_0.997,pick up the book and place it in the back compartment of the caddy,166,83
cross_0.997,put the white mug on the plate and put the chocolate pudding to the right of the plate,224,132
cross_0.997,put the black bowl in the bottom drawer of the cabinet and close it,299,207
cross_0.997,put both the alphabet soup and the cream cheese box in the basket,258,105
cross_0.997,put both moka pots on the stove,399,245
cross_0.997,put the white mug on the left plate and put the yellow and white mug on the right plate,220,131
cross_0.997,put the yellow and white mug in the microwave and close it,281,167
cross_0.996,put both the alphabet soup and the tomato sauce in the basket,284,98
cross_0.996,turn on the stove and put the moka pot on it,268,193
cross_0.996,put both the cream cheese box and the butter in the basket,241,77
cross_0.996,pick up the book and place it in the back compartment of the caddy,166,66
cross_0.996,put the white mug on the plate and put the chocolate pudding to the right of the plate,224,110
cross_0.996,put the black bowl in the bottom drawer of the cabinet and close it,299,176
cross_0.996,put both the alphabet soup and the cream cheese box in the basket,258,95
cross_0.996,put both moka pots on the stove,399,205
cross_0.996,put the white mug on the left plate and put the yellow and white mug on the right plate,220,108
cross_0.996,put the yellow and white mug in the microwave and close it,281,127
cross_0.995,put both the alphabet soup and the tomato sauce in the basket,284,79
cross_0.995,turn on the stove and put the moka pot on it,268,176
cross_0.995,put both the cream cheese box and the butter in the basket,241,68
cross_0.995,pick up the book and place it in the back compartment of the caddy,166,63
cross_0.995,put the white mug on the plate and put the chocolate pudding to the right of the plate,224,96
cross_0.995,put the black bowl in the bottom drawer of the cabinet and close it,299,155
cross_0.995,put both the alphabet soup and the cream cheese box in the basket,258,87
cross_0.995,put both moka pots on the stove,399,191
cross_0.995,put the white mug on the left plate and put the yellow and white mug on the right plate,220,89
cross_0.995,put the yellow and white mug in the microwave and close it,281,104
cross_0.9925,put both the alphabet soup and the tomato sauce in the basket,284,66
cross_0.9925,turn on the stove and put the moka pot on it,268,136
cross_0.9925,put both the cream cheese box and the butter in the basket,241,57
cross_0.9925,pick up the book and place it in the back compartment of the caddy,166,43
cross_0.9925,put the white mug on the plate and put the chocolate pudding to the right of the plate,224,75
cross_0.9925,put the black bowl in the bottom drawer of the cabinet and close it,299,123
cross_0.9925,put both the alphabet soup and the cream cheese box in the basket,258,68
cross_0.9925,put both moka pots on the stove,399,146
