label,removed_id,retained_id,task,score,remaining_removed,remaining_retained,same_trajectory,action_rmse,state_l2
cross_0.987,episode_0007_20260410_011103_871596:8,episode_0005_20260410_011022_801344:8,pick up the black bowl next to the ramekin and place it on the plate,0.9871136546134949,15,14,False,0.05639604479074478,0.07189090549945831
cross_0.987,episode_0026_20260410_011732_851293:3,episode_0029_20260410_011847_472194:3,pick up the black bowl on the ramekin and place it on the plate,0.9872201681137085,15,14,False,0.10140345245599747,0.06714490056037903
cross_0.987,episode_0001_20260410_010833_643988:0,episode_0002_20260410_010929_991358:1,pick up the black bowl between the plate and the ramekin and place it on the plate,0.988018274307251,16,15,False,0.2588611841201782,0.028129668906331062
cross_0.987,episode_0026_20260410_011732_851293:2,episode_0029_20260410_011847_472194:2,pick up the black bowl on the ramekin and place it on the plate,0.9873932003974915,16,15,False,0.0968448743224144,0.059983059763908386
cross_0.987,episode_0032_20260410_011958_314386:8,episode_0031_20260410_011933_301436:8,pick up the black bowl next to the cookie box and place it on the plate,0.9871338605880737,16,15,False,0.16136465966701508,0.06706960499286652
cross_0.987,episode_0026_20260410_011732_851293:1,episode_0029_20260410_011847_472194:1,pick up the black bowl on the ramekin and place it on the plate,0.9876022338867188,17,16,False,0.05323990806937218,0.04562601074576378
cross_0.987,episode_0032_20260410_011958_314386:7,episode_0031_20260410_011933_301436:7,pick up the black bowl next to the cookie box and place it on the plate,0.9873746037483215,17,16,False,0.09051875025033951,0.05201520770788193
cross_0.987,episode_0026_20260410_011732_851293:0,episode_0029_20260410_011847_472194:0,pick up the black bowl on the ramekin and place it on the plate,0.9879961013793945,18,17,False,0.11053299903869629,0.01847093738615513
cross_0.987,episode_0032_20260410_011958_314386:6,episode_0031_20260410_011933_301436:6,pick up the black bowl next to the cookie box and place it on the plate,0.9874459505081177,18,17,False,0.119574636220932,0.05227229371666908
cross_0.987,episode_0032_20260410_011958_314386:5,episode_0031_20260410_011933_301436:5,pick up the black bowl next to the cookie box and place it on the plate,0.9872398376464844,19,18,False,0.10365740209817886,0.062474530190229416
